Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2020-04-18 06-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 05-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 04-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 03-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 02-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 01-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-18 12-AM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-17 11-PM,ETHEUR,157.64,157.64,157.64,157.64,0.0,0.0
2020-04-17 10-PM,ETHEUR,158.81,158.81,157.64,157.64,1.003,158.06
2020-04-17 09-PM,ETHEUR,158.81,158.81,158.81,158.81,0.0,0.0
2020-04-17 08-PM,ETHEUR,158.17,158.81,158.17,158.81,1.892,300.54
2020-04-17 07-PM,ETHEUR,156.8,158.17,156.8,158.17,0.6099,96.46
2020-04-17 06-PM,ETHEUR,156.8,156.8,156.8,156.8,0.0,0.0
2020-04-17 05-PM,ETHEUR,156.09,156.8,156.09,156.8,10.41,1632.44
2020-04-17 04-PM,ETHEUR,156.8,156.8,156.09,156.09,12.79,2004.93
2020-04-17 03-PM,ETHEUR,155.4,157.45,155,156.8,10.03,1566.15
2020-04-17 02-PM,ETHEUR,157.3,157.3,155.4,155.4,0.4182,64.99
2020-04-17 01-PM,ETHEUR,161.68,161.68,157.3,157.3,0.2219,35.0
2020-04-17 12-PM,ETHEUR,161.68,161.68,161.68,161.68,0.0,0.0
2020-04-17 11-AM,ETHEUR,161.68,161.68,161.68,161.68,0.0,0.0
2020-04-17 10-AM,ETHEUR,157.31,161.68,157.31,161.68,55.77,8952.65
2020-04-17 09-AM,ETHEUR,157.01,157.81,157,157.31,3.795,597.38
2020-04-17 08-AM,ETHEUR,157.01,157.01,157.01,157.01,0.0,0.0
2020-04-17 07-AM,ETHEUR,157.01,157.01,157.01,157.01,0.0,0.0
2020-04-17 06-AM,ETHEUR,157.01,157.01,157.01,157.01,0.0,0.0
2020-04-17 05-AM,ETHEUR,159.93,159.93,157.01,157.01,1.911,300.1
2020-04-17 04-AM,ETHEUR,158.5,159.98,158.5,159.93,11.92,1900.02
2020-04-17 03-AM,ETHEUR,159.62,159.62,158.5,158.5,0.03785,6.0
2020-04-17 02-AM,ETHEUR,159.62,159.62,159.62,159.62,0.0,0.0
2020-04-17 01-AM,ETHEUR,159.62,159.62,159.62,159.62,0.0,0.0
2020-04-17 12-AM,ETHEUR,160,160,159.62,159.62,0.0936,14.94
2020-04-16 11-PM,ETHEUR,158.48,160,158.48,160,0.1397,22.35
2020-04-16 10-PM,ETHEUR,158.37,160,158.37,158.48,2.354,376.03
2020-04-16 09-PM,ETHEUR,158.07,158.39,157.9,158.37,1.826,288.97
2020-04-16 08-PM,ETHEUR,158.74,158.74,158.07,158.07,1.964,310.6
2020-04-16 07-PM,ETHEUR,158.82,158.82,158.55,158.74,1.893,300.52
2020-04-16 06-PM,ETHEUR,158,158.82,158,158.82,0.4178,66.35
2020-04-16 05-PM,ETHEUR,158,158,158,158,0.0,0.0
2020-04-16 04-PM,ETHEUR,158,158,158,158,0.0,0.0
2020-04-16 03-PM,ETHEUR,156.27,158,156.27,158,21.35,3373.72
2020-04-16 02-PM,ETHEUR,157.41,157.41,156.27,156.27,2.354,368.04
2020-04-16 01-PM,ETHEUR,157.41,157.41,157.41,157.41,0.0,0.0
2020-04-16 12-PM,ETHEUR,155,158,155,157.41,11.67,1839.57
2020-04-16 11-AM,ETHEUR,154.14,155,154.14,155,4.0,620.0
2020-04-16 10-AM,ETHEUR,158.42,158.42,154.14,154.14,7.933,1224.25
2020-04-16 09-AM,ETHEUR,158.42,158.42,158.42,158.42,0.0,0.0
2020-04-16 08-AM,ETHEUR,151,158.42,151,158.42,22.31,3518.02
2020-04-16 07-AM,ETHEUR,138.58,154.88,138.58,151,12.1,1863.21
2020-04-16 06-AM,ETHEUR,138.58,138.58,138.58,138.58,0.0,0.0
2020-04-16 05-AM,ETHEUR,138.58,138.58,138.58,138.58,0.0,0.0
2020-04-16 04-AM,ETHEUR,138.58,138.58,138.58,138.58,0.0,0.0
